# Monthly Rainfall - Koror (WMO Number 91408)
# Year,Month,Day,Value
1905,1,0,-99.9
1905,2,0,-99.9
1905,3,0,69.1
1905,4,0,49
1905,5,0,309.1
1905,6,0,224.8
1905,7,0,744
1905,8,0,345.9
1905,9,0,279.9
1905,10,0,497.1
1905,11,0,312.9
1905,12,0,387.1
1906,1,0,195.1
1906,2,0,209
1906,3,0,80
1906,4,0,157
1906,5,0,572
1906,6,0,281.9
1906,7,0,664
1906,8,0,392.9
1906,9,0,379
1906,10,0,194.1
1906,11,0,275.1
1906,12,0,405.9
1907,1,0,312.9
1907,2,0,161
1907,3,0,172
1907,4,0,47
1907,5,0,124
1907,6,0,336
1907,7,0,340.1
1907,8,0,625.1
1907,9,0,216.9
1907,10,0,64
1907,11,0,301
1907,12,0,390.9
1908,1,0,405.9
1908,2,0,251
1908,3,0,318
1908,4,0,206
1908,5,0,295.9
1908,6,0,406.9
1908,7,0,382
1908,8,0,472.9
1908,9,0,461
1908,10,0,125
1908,11,0,196.1
1908,12,0,375.9
1909,1,0,316
1909,2,0,118.1
1909,3,0,528.1
1909,4,0,261.1
1909,5,0,373.9
1909,6,0,224
1909,7,0,366
1909,8,0,228.1
1909,9,0,383
1909,10,0,337.1
1909,11,0,502.9
1909,12,0,502.9
1910,1,0,183.9
1910,2,0,311.9
1910,3,0,306.1
1910,4,0,71.1
1910,5,0,278.9
1910,6,0,438.9
1910,7,0,257
1910,8,0,252
1910,9,0,189
1910,10,0,294.9
1910,11,0,560.1
1910,12,0,549.9
1911,1,0,93
1911,2,0,113
1911,3,0,105.9
1911,4,0,312.9
1911,5,0,213.1
1911,6,0,320
1911,7,0,420.1
1911,8,0,228.1
1911,9,0,134.1
1911,10,0,328.9
1911,11,0,97
1911,12,0,385.1
1912,1,0,145.5
1912,2,0,62.7
1912,3,0,63.2
1912,4,0,333.8
1912,5,0,258.1
1912,6,0,235.7
1912,7,0,573.5
1912,8,0,436.9
1912,9,0,210.6
1912,10,0,131.1
1912,11,0,609.6
1912,12,0,177
1913,1,0,-99.9
